repeat_id,algorithm_name,search_mode,algorithm_time,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
0,BandDisp,model_prediction,1188.25,0,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,244.0,1
0,BandDisp,model_prediction,1188.25,1,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,448.0,2
0,BandDisp,model_prediction,1188.25,2,2,"[0,0,0,2]",206,206.0,204,204.0,1.0,652.0,3
0,BandDisp,model_prediction,1188.25,3,4,"[4,0,0,0]",242,242.0,244,244.0,1.0,896.0,4
0,BandDisp,model_prediction,1188.25,4,14,"[0,8,6,0]",144,144.0,148,148.0,1.0,1044.0,5
0,BandDisp,model_prediction,1188.25,5,6,"[0,0,0,6]",229,229.0,232,232.0,1.0,1276.0,6
1,BandDisp,model_prediction,1188.25,0,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,141.0,1
1,BandDisp,model_prediction,1188.25,1,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,345.0,2
1,BandDisp,model_prediction,1188.25,2,4,"[0,0,0,4]",243,243.0,244,244.0,1.0,589.0,3
1,BandDisp,model_prediction,1188.25,3,6,"[0,6,0,0]",230,230.0,232,232.0,1.0,821.0,4
1,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1025.0,5
1,BandDisp,model_prediction,1188.25,5,6,"[2,0,0,4]",83,83.0,71,71.0,1.0,1096.0,6
2,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
2,BandDisp,model_prediction,1188.25,1,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,408.0,2
2,BandDisp,model_prediction,1188.25,2,4,"[0,0,0,4]",243,243.0,244,244.0,1.0,652.0,3
2,BandDisp,model_prediction,1188.25,3,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,856.0,4
2,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",207,207.0,204,204.0,1.0,1060.0,5
2,BandDisp,model_prediction,1188.25,5,14,"[5,4,5,0]",96,96.0,95,95.0,1.0,1155.0,6
2,BandDisp,model_prediction,1188.25,6,2,"[0,0,0,2]",206,206.0,204,204.0,1.0,1359.0,7
2,BandDisp,model_prediction,1188.25,7,2,"[0,0,0,2]",199,199.0,204,204.0,1.0,1563.0,8
2,BandDisp,model_prediction,1188.25,8,2,"[1,0,1,0]",41,41.0,38,38.0,1.0,1601.0,9
3,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
3,BandDisp,model_prediction,1188.25,1,10,"[2,8,0,0]",102,102.0,75,75.0,1.0,307.0,2
3,BandDisp,model_prediction,1188.25,2,12,"[0,0,4,8]",144,144.0,141,141.0,1.0,448.0,3
3,BandDisp,model_prediction,1188.25,3,4,"[0,0,4,0]",242,242.0,244,244.0,1.0,692.0,4
4,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
4,BandDisp,model_prediction,1188.25,1,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,436.0,2
4,BandDisp,model_prediction,1188.25,2,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,680.0,3
4,BandDisp,model_prediction,1188.25,3,6,"[0,6,0,0]",230,230.0,232,232.0,1.0,912.0,4
4,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1116.0,5
4,BandDisp,model_prediction,1188.25,5,2,"[0,0,0,2]",207,207.0,204,204.0,1.0,1320.0,6
4,BandDisp,model_prediction,1188.25,6,10,"[0,0,4,6]",143,143.0,142,142.0,1.0,1462.0,7
5,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
5,BandDisp,model_prediction,1188.25,1,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,408.0,2
5,BandDisp,model_prediction,1188.25,2,6,"[6,0,0,0]",228,228.0,232,232.0,1.0,640.0,3
5,BandDisp,model_prediction,1188.25,3,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,782.0,4
5,BandDisp,model_prediction,1188.25,4,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,923.0,5
6,BandDisp,model_prediction,1188.25,0,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,142.0,1
6,BandDisp,model_prediction,1188.25,1,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,283.0,2
6,BandDisp,model_prediction,1188.25,2,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,515.0,3
6,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,719.0,4
6,BandDisp,model_prediction,1188.25,4,2,"[0,0,2,0]",196,196.0,204,204.0,1.0,923.0,5
7,BandDisp,model_prediction,1188.25,0,14,"[8,0,6,0]",144,144.0,148,148.0,1.0,148.0,1
7,BandDisp,model_prediction,1188.25,1,12,"[0,7,2,3]",69,69.0,68,68.0,1.0,216.0,2
7,BandDisp,model_prediction,1188.25,2,2,"[0,0,0,2]",206,206.0,204,204.0,1.0,420.0,3
7,BandDisp,model_prediction,1188.25,3,4,"[0,1,0,3]",234,76.52456796310912,41,41.0,1.0,461.0,4
8,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
8,BandDisp,model_prediction,1188.25,1,12,"[4,0,0,8]",148,148.0,141,141.0,1.0,345.0,2
8,BandDisp,model_prediction,1188.25,2,12,"[2,7,3,0]",70,26.80751317455444,68,22.691622072842122,0.33370032460061944,275.0,3
8,BandDisp,model_prediction,1188.25,3,4,"[0,0,4,0]",242,242.0,244,244.0,1.0,519.0,4
8,BandDisp,model_prediction,1188.25,4,2,"[0,1,1,0]",41,41.0,38,38.0,1.0,602.3083779271578,5
9,BandDisp,model_prediction,1188.25,0,14,"[8,0,6,0]",144,144.0,148,148.0,1.0,148.0,1
9,BandDisp,model_prediction,1188.25,1,2,"[0,0,2,0]",196,196.0,204,204.0,1.0,352.0,2
9,BandDisp,model_prediction,1188.25,2,4,"[0,4,0,0]",242,242.0,244,244.0,1.0,596.0,3
9,BandDisp,model_prediction,1188.25,3,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,737.0,4
10,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
10,BandDisp,model_prediction,1188.25,1,6,"[6,0,0,0]",228,228.0,232,232.0,1.0,436.0,2
10,BandDisp,model_prediction,1188.25,2,12,"[0,4,8,0]",148,148.0,141,141.0,1.0,577.0,3
10,BandDisp,model_prediction,1188.25,3,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,718.0,4
11,BandDisp,model_prediction,1188.25,0,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,141.0,1
11,BandDisp,model_prediction,1188.25,1,10,"[0,8,0,2]",98,98.0,75,75.0,1.0,216.0,2
11,BandDisp,model_prediction,1188.25,2,6,"[0,0,0,6]",229,229.0,232,232.0,1.0,448.0,3
11,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,652.0,4
11,BandDisp,model_prediction,1188.25,4,2,"[2,0,0,0]",205,205.0,204,204.0,1.0,856.0,5
12,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
12,BandDisp,model_prediction,1188.25,1,12,"[0,4,8,0]",148,148.0,141,141.0,1.0,373.0,2
12,BandDisp,model_prediction,1188.25,2,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,605.0,3
12,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,809.0,4
12,BandDisp,model_prediction,1188.25,4,6,"[0,4,0,2]",80,80.0,71,18.628074271256967,0.2623672432571404,743.0,5
13,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
13,BandDisp,model_prediction,1188.25,1,12,"[4,0,0,8]",148,148.0,141,141.0,1.0,345.0,2
13,BandDisp,model_prediction,1188.25,2,10,"[2,8,0,0]",102,102.0,75,75.0,1.0,420.0,3
13,BandDisp,model_prediction,1188.25,3,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,624.0,4
13,BandDisp,model_prediction,1188.25,4,6,"[0,0,6,0]",228,228.0,232,232.0,1.0,856.0,5
14,BandDisp,model_prediction,1188.25,0,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,141.0,1
14,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,373.0,2
14,BandDisp,model_prediction,1188.25,2,10,"[0,8,0,2]",98,98.0,75,75.0,1.0,448.0,3
14,BandDisp,model_prediction,1188.25,3,4,"[4,0,0,0]",242,242.0,244,244.0,1.0,692.0,4
15,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
15,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,464.0,2
15,BandDisp,model_prediction,1188.25,2,6,"[0,6,0,0]",230,230.0,232,232.0,1.0,696.0,3
15,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,900.0,4
15,BandDisp,model_prediction,1188.25,4,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,1144.0,5
15,BandDisp,model_prediction,1188.25,5,6,"[0,0,4,2]",81,81.0,71,71.0,1.0,1215.0,6
15,BandDisp,model_prediction,1188.25,6,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1419.0,7
16,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
16,BandDisp,model_prediction,1188.25,1,10,"[6,4,0,0]",144,144.0,142,142.0,1.0,346.0,2
16,BandDisp,model_prediction,1188.25,2,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,578.0,3
16,BandDisp,model_prediction,1188.25,3,4,"[0,4,0,0]",243,243.0,244,244.0,1.0,822.0,4
16,BandDisp,model_prediction,1188.25,4,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,1066.0,5
16,BandDisp,model_prediction,1188.25,5,4,"[0,0,4,0]",241,241.0,244,244.0,1.0,1310.0,6
16,BandDisp,model_prediction,1188.25,6,2,"[0,0,0,2]",197,197.0,204,204.0,1.0,1514.0,7
17,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
17,BandDisp,model_prediction,1188.25,1,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,448.0,2
17,BandDisp,model_prediction,1188.25,2,12,"[0,8,4,0]",145,145.0,141,141.0,1.0,589.0,3
17,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,793.0,4
17,BandDisp,model_prediction,1188.25,4,10,"[4,0,0,6]",144,144.0,142,142.0,1.0,935.0,5
17,BandDisp,model_prediction,1188.25,5,2,"[0,0,0,2]",204,204.0,204,204.0,1.0,1139.0,6
18,BandDisp,model_prediction,1188.25,0,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,244.0,1
18,BandDisp,model_prediction,1188.25,1,10,"[4,0,6,0]",145,145.0,142,142.0,1.0,386.0,2
18,BandDisp,model_prediction,1188.25,2,2,"[0,0,2,0]",196,196.0,204,204.0,1.0,590.0,3
18,BandDisp,model_prediction,1188.25,3,14,"[0,6,0,8]",144,144.0,148,148.0,1.0,738.0,4
18,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",206,206.0,204,204.0,1.0,942.0,5
19,BandDisp,model_prediction,1188.25,0,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,141.0,1
19,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,373.0,2
19,BandDisp,model_prediction,1188.25,2,14,"[4,8,0,2]",79,79.0,70,19.537626809054416,0.27910895441506306,283.0,3
20,BandDisp,model_prediction,1188.25,0,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,141.0,1
20,BandDisp,model_prediction,1188.25,1,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,345.0,2
20,BandDisp,model_prediction,1188.25,2,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,577.0,3
20,BandDisp,model_prediction,1188.25,3,10,"[0,8,0,2]",98,98.0,75,75.0,1.0,652.0,4
20,BandDisp,model_prediction,1188.25,4,2,"[2,0,0,0]",205,205.0,204,204.0,1.0,856.0,5
21,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
21,BandDisp,model_prediction,1188.25,1,12,"[4,0,0,8]",148,148.0,141,141.0,1.0,345.0,2
21,BandDisp,model_prediction,1188.25,2,4,"[0,0,4,0]",242,242.0,244,244.0,1.0,589.0,3
21,BandDisp,model_prediction,1188.25,3,6,"[0,6,0,0]",230,230.0,232,232.0,1.0,821.0,4
21,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1025.0,5
21,BandDisp,model_prediction,1188.25,5,6,"[2,0,4,0]",83,83.0,71,71.0,1.0,1096.0,6
22,BandDisp,model_prediction,1188.25,0,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,142.0,1
22,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,374.0,2
22,BandDisp,model_prediction,1188.25,2,10,"[8,0,2,0]",100,100.0,75,75.0,1.0,449.0,3
22,BandDisp,model_prediction,1188.25,3,2,"[0,0,0,2]",197,197.0,204,204.0,1.0,653.0,4
22,BandDisp,model_prediction,1188.25,4,2,"[0,2,0,0]",207,207.0,204,204.0,1.0,857.0,5
22,BandDisp,model_prediction,1188.25,5,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1061.0,6
23,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
23,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,464.0,2
23,BandDisp,model_prediction,1188.25,2,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,668.0,3
23,BandDisp,model_prediction,1188.25,3,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,912.0,4
23,BandDisp,model_prediction,1188.25,4,2,"[0,0,0,2]",197,197.0,204,204.0,1.0,1116.0,5
23,BandDisp,model_prediction,1188.25,5,12,"[0,8,4,0]",145,145.0,141,141.0,1.0,1257.0,6
24,BandDisp,model_prediction,1188.25,0,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,142.0,1
24,BandDisp,model_prediction,1188.25,1,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,283.0,2
24,BandDisp,model_prediction,1188.25,2,2,"[0,0,2,0]",196,196.0,204,204.0,1.0,487.0,3
24,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",205,205.0,204,204.0,1.0,691.0,4
24,BandDisp,model_prediction,1188.25,4,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,895.0,5
24,BandDisp,model_prediction,1188.25,5,4,"[4,0,0,0]",244,244.0,244,244.0,1.0,1139.0,6
25,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
25,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,464.0,2
25,BandDisp,model_prediction,1188.25,2,6,"[0,6,0,0]",230,230.0,232,232.0,1.0,696.0,3
25,BandDisp,model_prediction,1188.25,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,900.0,4
25,BandDisp,model_prediction,1188.25,4,4,"[0,0,4,0]",243,243.0,244,244.0,1.0,1144.0,5
25,BandDisp,model_prediction,1188.25,5,6,"[0,0,4,2]",81,81.0,71,71.0,1.0,1215.0,6
25,BandDisp,model_prediction,1188.25,6,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1419.0,7
26,BandDisp,model_prediction,1188.25,0,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,142.0,1
26,BandDisp,model_prediction,1188.25,1,2,"[0,0,2,0]",196,196.0,204,204.0,1.0,346.0,2
26,BandDisp,model_prediction,1188.25,2,4,"[0,4,0,0]",243,243.0,244,244.0,1.0,590.0,3
26,BandDisp,model_prediction,1188.25,3,12,"[4,0,0,8]",148,148.0,141,141.0,1.0,731.0,4
26,BandDisp,model_prediction,1188.25,4,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,975.0,5
27,BandDisp,model_prediction,1188.25,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
27,BandDisp,model_prediction,1188.25,1,6,"[6,0,0,0]",228,228.0,232,232.0,1.0,436.0,2
27,BandDisp,model_prediction,1188.25,2,12,"[0,4,8,0]",148,148.0,141,141.0,1.0,577.0,3
27,BandDisp,model_prediction,1188.25,3,12,"[0,4,0,8]",147,147.0,141,141.0,1.0,718.0,4
28,BandDisp,model_prediction,1188.25,0,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,244.0,1
28,BandDisp,model_prediction,1188.25,1,12,"[4,0,8,0]",149,149.0,141,141.0,1.0,385.0,2
28,BandDisp,model_prediction,1188.25,2,4,"[0,4,0,0]",242,242.0,244,244.0,1.0,629.0,3
28,BandDisp,model_prediction,1188.25,3,10,"[0,4,0,6]",144,144.0,142,142.0,1.0,771.0,4
28,BandDisp,model_prediction,1188.25,4,2,"[0,0,0,2]",204,204.0,204,204.0,1.0,975.0,5
29,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
29,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,464.0,2
29,BandDisp,model_prediction,1188.25,2,14,"[2,7,3,2]",68,68.0,63,63.0,1.0,527.0,3
29,BandDisp,model_prediction,1188.25,3,4,"[0,0,4,0]",242,242.0,244,244.0,1.0,771.0,4
29,BandDisp,model_prediction,1188.25,4,2,"[0,1,1,0]",41,41.0,38,38.0,1.0,809.0,5
30,BandDisp,model_prediction,1188.25,0,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,244.0,1
30,BandDisp,model_prediction,1188.25,1,4,"[4,0,0,0]",242,242.0,244,244.0,1.0,488.0,2
30,BandDisp,model_prediction,1188.25,2,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,692.0,3
30,BandDisp,model_prediction,1188.25,3,10,"[0,4,6,0]",145,145.0,142,142.0,1.0,834.0,4
30,BandDisp,model_prediction,1188.25,4,2,"[0,0,0,2]",207,207.0,204,204.0,1.0,1038.0,5
30,BandDisp,model_prediction,1188.25,5,10,"[0,4,0,6]",144,144.0,142,142.0,1.0,1180.0,6
31,BandDisp,model_prediction,1188.25,0,6,"[6,0,0,0]",231,231.0,232,232.0,1.0,232.0,1
31,BandDisp,model_prediction,1188.25,1,6,"[0,0,0,6]",231,231.0,232,232.0,1.0,464.0,2
