repeat_id,algorithm_name,search_mode,algorithm_time,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
0,BandDisp,model_prediction,3572.97,0,4,"[4,0,0,0]",243,243.0,244,244.0,1.0,244.0,1
0,BandDisp,model_prediction,3572.97,1,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,448.0,2
0,BandDisp,model_prediction,3572.97,2,2,"[0,0,2,0]",204,204.0,204,204.0,1.0,652.0,3
0,BandDisp,model_prediction,3572.97,3,4,"[4,0,0,0]",241,241.0,244,244.0,1.0,896.0,4
0,BandDisp,model_prediction,3572.97,4,14,"[0,6,0,8]",144,144.0,148,148.0,1.0,1044.0,5
0,BandDisp,model_prediction,3572.97,5,6,"[0,0,6,0]",228,228.0,232,232.0,1.0,1276.0,6
1,BandDisp,model_prediction,3572.97,0,12,"[4,8,0,0]",148,148.0,141,141.0,1.0,141.0,1
1,BandDisp,model_prediction,3572.97,1,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,345.0,2
1,BandDisp,model_prediction,3572.97,2,4,"[0,0,0,4]",242,242.0,244,244.0,1.0,589.0,3
1,BandDisp,model_prediction,3572.97,3,6,"[0,0,6,0]",229,229.0,232,232.0,1.0,821.0,4
1,BandDisp,model_prediction,3572.97,4,2,"[2,0,0,0]",205,205.0,204,204.0,1.0,1025.0,5
1,BandDisp,model_prediction,3572.97,5,6,"[0,0,2,4]",80,80.0,71,71.0,1.0,1096.0,6
2,BandDisp,model_prediction,3572.97,0,2,"[2,0,0,0]",207,207.0,204,204.0,1.0,204.0,1
2,BandDisp,model_prediction,3572.97,1,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,408.0,2
2,BandDisp,model_prediction,3572.97,2,4,"[0,0,4,0]",242,242.0,244,244.0,1.0,652.0,3
2,BandDisp,model_prediction,3572.97,3,2,"[2,0,0,0]",206,206.0,204,204.0,1.0,856.0,4
2,BandDisp,model_prediction,3572.97,4,2,"[0,2,0,0]",205,205.0,204,204.0,1.0,1060.0,5
2,BandDisp,model_prediction,3572.97,5,14,"[3,4,0,7]",84,84.0,77,77.0,1.0,1137.0,6
2,BandDisp,model_prediction,3572.97,6,2,"[0,0,2,0]",206,206.0,204,204.0,1.0,1341.0,7
