repeat_id,algorithm_name,search_mode,algorithm_time,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
0,BandDisp,model_prediction,4622.8,0,4,"[0,0,0,4]",243.62,243.62,244.7,244.7,1.0,244.7,1
0,BandDisp,model_prediction,4622.8,1,2,"[2,0,0,0]",207.4,207.4,204.92,204.92,1.0,449.62,2
0,BandDisp,model_prediction,4622.8,2,2,"[0,0,2,0]",205.91,205.91,204.92,204.92,1.0,654.54,3
0,BandDisp,model_prediction,4622.8,3,4,"[0,0,0,4]",243.26,243.26,244.7,244.7,1.0,899.24,4
0,BandDisp,model_prediction,4622.8,4,14,"[0,8,6,0]",144.2275390625,144.2275390625,148.44,148.44,1.0,1047.68,5
0,BandDisp,model_prediction,4622.8,5,6,"[6,0,0,0]",228.85,228.85,232.24,232.24,1.0,1279.92,6
1,BandDisp,model_prediction,4622.8,0,12,"[4,0,8,0]",141.7066650390625,141.7066650390625,141.27,141.27,1.0,141.27,1
1,BandDisp,model_prediction,4622.8,1,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,346.19,2
1,BandDisp,model_prediction,4622.8,2,4,"[4,0,0,0]",241.69,241.69,244.7,244.7,1.0,590.89,3
1,BandDisp,model_prediction,4622.8,3,6,"[0,6,0,0]",227.77,227.77,232.24,232.24,1.0,823.13,4
1,BandDisp,model_prediction,4622.8,4,2,"[0,0,0,2]",205.46,205.46,204.92,204.92,1.0,1028.05,5
1,BandDisp,model_prediction,4622.8,5,6,"[0,0,0,6]",230.38,230.38,232.24,232.24,1.0,1260.29,6
2,BandDisp,model_prediction,4622.8,0,2,"[2,0,0,0]",207.4,207.4,204.92,204.92,1.0,204.92,1
2,BandDisp,model_prediction,4622.8,1,2,"[0,2,0,0]",206.81,206.81,204.92,204.92,1.0,409.84,2
