repeat_id,algorithm_name,search_mode,algorithm_time,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
0,BandDisp,model_prediction,431.35,0,4,"[0,4,0,0]",103,103.0,103,103.0,1.0,103.0,1
0,BandDisp,model_prediction,431.35,1,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,204.0,2
0,BandDisp,model_prediction,431.35,2,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,305.0,3
0,BandDisp,model_prediction,431.35,3,4,"[0,0,0,4]",74,74.0,74,74.0,1.0,379.0,4
0,BandDisp,model_prediction,431.35,4,14,"[7,0,7,0]",3,2.0,4,2.0,0.5,381.0,5
0,BandDisp,model_prediction,431.35,5,6,"[1,0,1,4]",74,1.922077922077922,0,0.0,0.0,381.0,6
1,BandDisp,model_prediction,431.35,0,12,"[0,4,0,8]",84,84.0,92,92.0,1.0,92.0,1
1,BandDisp,model_prediction,431.35,1,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,193.0,2
1,BandDisp,model_prediction,431.35,2,4,"[0,0,4,0]",42,42.0,42,42.0,1.0,235.0,3
1,BandDisp,model_prediction,431.35,3,6,"[6,0,0,0]",5,5.0,5,5.0,1.0,240.0,4
1,BandDisp,model_prediction,431.35,4,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,341.0,5
1,BandDisp,model_prediction,431.35,5,6,"[2,0,4,0]",11,4.0,10,3.0,0.3,344.0,6
2,BandDisp,model_prediction,431.35,0,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,101.0,1
2,BandDisp,model_prediction,431.35,1,2,"[0,2,0,0]",101,101.0,101,101.0,1.0,202.0,2
2,BandDisp,model_prediction,431.35,2,4,"[0,4,0,0]",103,103.0,103,103.0,1.0,305.0,3
2,BandDisp,model_prediction,431.35,3,2,"[0,0,0,2]",42,42.0,42,42.0,1.0,347.0,4
2,BandDisp,model_prediction,431.35,4,2,"[0,0,0,2]",42,42.0,42,42.0,1.0,389.0,5
2,BandDisp,model_prediction,431.35,5,14,"[7,0,7,0]",3,2.0,4,2.0,0.5,391.0,6
2,BandDisp,model_prediction,431.35,6,2,"[0,0,0,2]",42,42.0,42,42.0,1.0,433.0,7
2,BandDisp,model_prediction,431.35,7,2,"[0,0,0,2]",42,42.0,42,42.0,1.0,475.0,8
2,BandDisp,model_prediction,431.35,8,2,"[1,0,1,0]",0,0.0,0,0.0,0.0,475.0,9
3,BandDisp,model_prediction,431.35,0,6,"[0,6,0,0]",88,88.0,88,88.0,1.0,88.0,1
