,test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,UpperBandDisp,Topo,BandDisp_time,UpperBandDisp_time,Topo_time
2,2,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,0.06614728927612305,0.005647368431091308,0.0027850055694580078
3,3,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,0.05768210411071777,0.005949540138244629,0.009967069625854492
4,4,32,20,H100_26H100_27H100_28H100_29,True,96.28187225239202,100.0,98.17015774502197,0.05200906753540039,0.005396622198599356,0.01987546920776367
5,5,32,20,H100_26H100_27H100_28H100_29,True,92.99375416150237,100.0,93.10545887252714,0.13314539432525635,0.012999682590879243,0.02366034984588623
6,6,32,20,H100_26H100_27H100_28H100_29,True,92.80322565204446,100.0,84.89855298144695,0.13298128604888915,0.013431378773280553,0.016144781112670897
7,7,32,20,H100_26H100_27H100_28H100_29,True,94.9338136582026,100.0,84.09628222841704,0.13341822624206542,0.013774266949406377,0.0059609365463256835
8,8,32,20,H100_26H100_27H100_28H100_29,True,97.20628044344738,100.0,72.44500198782245,0.1389551591873169,0.014132210841545692,0.0009512281417846679
9,9,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,60.75460287823716,0.21547120571136474,0.025282306671142576,5.4421424865722654e-05
10,10,32,20,H100_26H100_27H100_28H100_29,True,99.69290819008667,99.72910216718269,75.22082216009595,0.27198166847229005,0.025293540954589844,5.481243133544922e-05
11,11,32,20,H100_26H100_27H100_28H100_29,True,97.86880641925778,98.40160481444333,85.93379472324277,0.3023550128936768,0.025950937271118163,5.499839782714844e-05
12,12,32,20,H100_26H100_27H100_28H100_29,True,97.47170033879561,99.3361258751437,87.85039360459874,0.2130083131790161,0.02529101848602295,5.710124969482422e-05
13,13,32,20,H100_26H100_27H100_28H100_29,True,98.58825190913107,99.5645350777941,86.85668059261525,0.20595039367675783,0.026257038116455078,5.821704864501953e-05
14,14,32,20,H100_26H100_27H100_28H100_29,True,98.52931240007948,98.96479003901226,88.80311726605966,0.2011524772644043,0.026534948348999023,5.8827400207519533e-05
15,15,32,20,H100_26H100_27H100_28H100_29,True,98.66228367196955,98.98916551912076,85.88765528541691,0.19331312656402588,0.025610451698303224,5.9771537780761716e-05
16,16,32,20,H100_26H100_27H100_28H100_29,True,99.50452536308144,99.50452536308144,82.56260027028009,0.1907370615005493,0.02625405788421631,5.907058715820312e-05
17,17,32,20,H100_26H100_27H100_28H100_29,True,95.35537409164266,96.56246498414133,66.33204309155724,0.17497611045837402,0.02460692882537842,6.024837493896484e-05
18,18,32,20,H100_26H100_27H100_28H100_29,True,99.08203480590666,100.0,72.42682191766535,0.1522211503982544,0.02085167407989502,6.0362815856933595e-05
19,19,32,20,H100_26H100_27H100_28H100_29,True,99.14598335180054,100.0,81.42879731476764,0.14608149528503417,0.020381951332092287,6.085872650146484e-05
20,20,32,20,H100_26H100_27H100_28H100_29,True,99.58053719629406,100.0,86.73579204442758,0.1399044704437256,0.019737401008605958,6.134510040283203e-05
21,21,32,20,H100_26H100_27H100_28H100_29,True,98.5864185279262,99.68527327443938,86.6769978079815,0.12887863636016847,0.01771574020385742,6.146907806396484e-05
22,22,32,20,H100_26H100_27H100_28H100_29,True,97.84610615101765,99.78958936990323,87.9029799029799,0.12431066513061523,0.017458901405334473,6.076812744140625e-05
23,23,32,20,H100_26H100_27H100_28H100_29,True,98.34554162717957,99.29839908789481,88.32537055869874,0.12106179237365723,0.01716135025024414,5.9938430786132814e-05
24,24,32,20,H100_26H100_27H100_28H100_29,True,99.12648221343872,99.65303224149888,75.07011596961188,0.11096657276153564,0.015464444160461426,6.035327911376953e-05
25,25,32,20,H100_26H100_27H100_28H100_29,True,99.14829787723848,99.82208244411996,66.96227426557085,0.10283888339996337,0.014261641502380372,6.152153015136719e-05
26,26,32,20,H100_26H100_27H100_28H100_29,True,94.68731918736452,100.0,73.19913052035983,0.08589278221130371,0.011674308776855468,6.160259246826172e-05
27,27,32,20,H100_26H100_27H100_28H100_29,True,80.75095785440611,100.0,83.60642783616622,0.07555380344390869,0.011265580247088177,6.120204925537109e-05
28,28,32,20,H100_26H100_27H100_28H100_29,True,98.04409481420142,100.0,90.86626328340013,0.06888437271118164,0.008695588111877442,6.153583526611329e-05
29,29,32,20,H100_26H100_27H100_28H100_29,True,93.52539261676525,100.0,92.47317968590656,0.05988375663757324,0.007276144027709961,6.186962127685547e-05
30,30,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,97.35870914356643,0.04453127384185791,0.0049023771286010745,6.28805160522461e-05
31,31,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,0.03081770420074463,0.003002305030822754,5.9986114501953124e-05
