,test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,UpperBandDisp,Topo,Random,BandDisp_time,UpperBandDisp_time,Topo_time,Random_time
2,2,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,38.26761663088034,0.10378613948822021,0.005413408279418945,0.002731904983520508,8.956432342529297e-05
3,3,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,33.954121422944006,0.10191092491149903,0.0060012912750244144,0.009936985969543457,9.021759033203124e-05
4,4,32,20,H100_26H100_27H100_28H100_29,True,96.28187225239202,100.0,98.17015774502197,27.55655858042564,0.09199926853179932,0.0053805017471313474,0.019498095512390137,8.832454681396484e-05
5,5,32,20,H100_26H100_27H100_28H100_29,True,92.99375416150237,100.0,93.10545887252714,34.93205562603821,0.23683928489685058,0.013921527862548829,0.023242654800415038,0.00011121273040771484
6,6,32,20,H100_26H100_27H100_28H100_29,True,92.6716225585853,100.0,84.89855298144695,31.067213364680285,0.23710723400115966,0.01383542537689209,0.015228304862976074,0.00011068344116210938
7,7,32,20,H100_26H100_27H100_28H100_29,True,95.00831523217948,100.0,84.09628222841704,32.84937909378382,0.24542275905609132,0.014068226814270019,0.005948224067687988,0.00011194705963134766
8,8,32,20,H100_26H100_27H100_28H100_29,True,98.57277259004422,100.0,72.44500198782245,36.37873439151566,0.2580500030517578,0.01459773063659668,0.0010105037689208984,0.00011264324188232421
9,9,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,60.75460287823716,46.18798417185778,0.3956535482406616,0.025279078483581543,5.605220794677734e-05,0.00012786865234375
10,10,32,20,H100_26H100_27H100_28H100_29,True,99.66632823815678,99.72910216718269,75.22082216009595,48.44138927601401,0.3850135612487793,0.025395150184631347,5.610942840576172e-05,0.00012918472290039063
11,11,32,20,H100_26H100_27H100_28H100_29,True,98.04640588431963,98.40160481444333,85.93379472324277,49.57798413636022,0.38496206283569334,0.02634129047393799,5.848884582519531e-05,0.00014159202575683594
12,12,32,20,H100_26H100_27H100_28H100_29,True,98.02640578343504,99.3361258751437,87.85039360459874,52.301033949913226,0.37032310009002684,0.025254426002502443,5.848884582519531e-05,0.00013600349426269533
13,13,32,20,H100_26H100_27H100_28H100_29,True,98.59402067797654,99.55582577934997,86.85668059261525,51.42678149426895,0.37760305404663086,0.027256197929382324,6.01816177368164e-05,0.0001447439193725586
14,14,32,20,H100_26H100_27H100_28H100_29,True,98.96479003901226,98.96479003901226,88.80311726605966,60.00557925036926,0.3636879777908325,0.02662372589111328,5.885124206542969e-05,0.00013830184936523438
15,15,32,20,H100_26H100_27H100_28H100_29,True,98.98916551912076,98.98916551912076,85.88765528541691,64.68850217598101,0.3468505096435547,0.026062827110290527,6.02865219116211e-05,0.00013877391815185546
16,16,32,20,H100_26H100_27H100_28H100_29,True,99.10369720573156,99.50452536308144,82.56260027028009,62.36932990073105,0.3507270050048828,0.026776747703552248,6.0825347900390626e-05,0.0001326608657836914
17,17,32,20,H100_26H100_27H100_28H100_29,True,95.70001561975198,96.56246498414133,66.33204309155724,72.42457841729566,0.31608047962188723,0.024702816009521483,6.078720092773438e-05,0.00013261795043945313
18,18,32,20,H100_26H100_27H100_28H100_29,True,89.30610329962637,100.0,72.42682191766535,72.33498010941794,0.2741678285598755,0.02095858573913574,6.169795989990234e-05,0.0001364755630493164
19,19,32,20,H100_26H100_27H100_28H100_29,True,97.22787460710111,100.0,81.42879731476764,80.42107731473659,0.26277979850769045,0.020364456176757813,6.16312026977539e-05,0.00014062881469726563
20,20,32,20,H100_26H100_27H100_28H100_29,True,98.873560452108,100.0,86.73579204442758,79.5615415973722,0.25365931510925294,0.019725656509399413,6.248950958251954e-05,0.00013345718383789062
21,21,32,20,H100_26H100_27H100_28H100_29,True,99.23276354297327,99.68527327443938,86.6769978079815,87.32834600530481,0.23193716526031494,0.017659988403320313,6.322383880615235e-05,0.00013264656066894532
22,22,32,20,H100_26H100_27H100_28H100_29,True,98.31496016908709,99.78958936990323,87.9029799029799,87.72167983871734,0.22243040084838867,0.01744302749633789,6.22701644897461e-05,0.00013286590576171874
23,23,32,20,H100_26H100_27H100_28H100_29,True,98.28963540535811,99.29839908789481,88.32537055869874,90.5153514435659,0.21600347995758057,0.017197532653808592,6.023883819580078e-05,0.00012956142425537108
24,24,32,20,H100_26H100_27H100_28H100_29,True,96.96604768685096,99.65303224149888,75.07011596961188,88.53375241989008,0.19848291873931884,0.01540224552154541,6.148815155029296e-05,0.00013152599334716796
25,25,32,20,H100_26H100_27H100_28H100_29,True,99.70403160322269,99.82208244411996,66.96227426557085,95.62612675395721,0.1747783613204956,0.014867377281188966,6.34765625e-05,0.00013066768646240233
26,26,32,20,H100_26H100_27H100_28H100_29,True,94.74046272235857,100.0,73.19913052035983,92.39115784057785,0.15810258388519288,0.01159423828125,6.308555603027344e-05,0.00013082504272460938
27,27,32,20,H100_26H100_27H100_28H100_29,True,78.90671968310228,100.0,83.60642783616622,89.35790444075155,0.13849650382995604,0.009927515983581542,6.310939788818359e-05,0.00013646125793457032
28,28,32,20,H100_26H100_27H100_28H100_29,True,97.90042438670943,100.0,90.86626328340013,95.98848120411316,0.1289443063735962,0.008711991310119628,6.16312026977539e-05,0.00012369632720947267
29,29,32,20,H100_26H100_27H100_28H100_29,True,93.52539261676525,100.0,92.47317968590656,96.23373444829694,0.10884668350219727,0.007295308113098145,6.280899047851562e-05,0.0001214599609375
30,30,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,97.35870914356643,99.1745966073645,0.0808283805847168,0.004952025413513183,6.182670593261719e-05,0.00011185646057128907
31,31,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,100.0,0.058273448944091796,0.0029472398757934572,6.0372352600097656e-05,0.0001033926010131836
